no,항목분류,질환명(한글),질환명(영문),관련질환명,증상,원인,진단,치료
12,"선천 기형,변형 및 염색체 이상(Q00-Q99)",16번 단완 염색체 미세결실 증후군 ,16p11.2 microdeletion syndrome,"16p11.2p12.2 microdeletion syndrome,monosomy 16p11.2p12.2,","안면기형, 저신장, 심장질환, 발달지연, 섭취장애, 비만, 자폐, 정신지체",16번 염색체 단완 근위부의 미세 결실,"형광제자리부합법, 비교유전자교잡법",증상에 따른 대증치료 
13,"선천 기형,변형 및 염색체 이상(Q00-Q99)",18번 삼염색체증,Trisomy 18 Syndrome,"에드워즈 증후군 또는 에드워드 증후군(Edwards’ syndrome),염색체 18번, 삼염색체증(Chromosome 18, Trisomy Complete),완전 18번 삼염색체증(Complete Trisomy 18 Syndrome),삼염색체 E 증후군(Trisomy E Syndrome),","소두증, 양안격리증(두눈먼거리증), 작은턱증, 눈까풀 틈새, 안검하수증, 백내장, 홍채결손, 안구진탕증, 사시, 소구증(작은 입), 구순열, 구개열, 귀의 기형, 다지증, 합지증, 흔들의자 바닥 모양의 발, 내반첨족, 잠복고환증, 두갈래음낭, 요도하열, 선천성 심장 결손, 동맥관열림증, 관절경축, 척추이분증, 청력손실, 아래팔의 요골 무형성증,  폐동맥 협착증(Pulmonary artery stenosis), 대동맥 협착증(Aortic coarctation), 다낭신장, 말굽모양 콩팥, 물콩팥증, 탈장, 척수막탈출증, 정신지체, 인지장애, 언어 및 운동 발달 장애",18번 염색체의 전부 또는 중요한 부분이 3개가 존재,"산전진단, 태아초음파검사, 트리플 검사 혹는 쿼드 검사를 포함한 산전 기형아 검사(Triple Test or Quard test), 염색체 검사, 신체 검사(다발성 선천성기형 및 임상증상에 대한) ","유전상담, 대증요법(Symptomatic treatment), 지지요법(Supportive therapy), 수술요법  "
14,"선천 기형,변형 및 염색체 이상(Q00-Q99)",18번 염색체 짧은 팔의 결손증후군,18p monosomy,"18번 염색체 짧은 팔의 결실증후군(chromosome 18 short arm deletion syndrome),de Grouchy syndrome I (de Grouchy syndrome I ),","근육긴장저하증, 뇌이상, 머리얼굴이상형태증, 성장지연(저신장), 심장이상, 언어지연, 정신지연",18번 염색체 단완의 결손(결실),"임상증상으로 의심 ,  염색체 검사 ,  FISH 검사","특이적인 치료는 없음 ,  대증치료"
15,"선천 기형,변형 및 염색체 이상(Q00-Q99)",18장완일염색체증,18q monosomy,"18번 염색체 긴팔의 결실증후군(Chromosome 18q deletion syndrome ), chromosome 18q- syndrome , 18q- syndrome , chromosome 18 long arm deletion syndrome , monosomy 18q syndrome , 18q deletion syndrome,","귀의 이상, 발달지연, 생식기 이상, 성장지연, 신경계 이상, 얼굴이상형태증, 작은머리증, 저신장, 정신지연",18번 염색체 장완의 결손(결실),"임상증상으로 의심 ,  염색체 검사","물리치료 ,  작업치료 ,  언어치료"
16,"선천 기형,변형 및 염색체 이상(Q00-Q99)",1번 단완 염색체 결실 증후군,1p36 deletion syndrome,"Monosomy 1p36 syndrome,Del(1)(p36),Deletion 1p36,Deletion 1pter,Monosomy 1p36,Monosomy 1pter,Subtelomeric 1p36 deletion  ,","특징적인 안면기형, 발달지연, 언어장애, 인지장애, 경련, 시각장애, 청각장애, 선천성 심기형 등",1번 염색체 단완의 일부 결실,"고식적 핵형분석, 형광제자리부합법, 비교유전자교잡법",증상에 따른 대증치료 
17,"선천 기형,변형 및 염색체 이상(Q00-Q99)",1번 장완 염색체 미세결실 증후군 ,1q21.1 microdeletion syndrome,"Monosomy 1q21.1,Del(1)(q21),Deletion 1q21.1,","소두증(microcephaly), 발달장애, 경도의 지능저하, 경도의 안면기형, 안과적 이상 등",1번 염색체 장완의 미세결실,"형광제자리부합법, 비교유전자교잡법, 복합결찰의존프로브증폭법",증상에 따른 대증치료 
18,"선천 기형,변형 및 염색체 이상(Q00-Q99)",20 환 염색체 증후군,Ring chromosome 20 syndrome,"ring-shaped chromosome 20,","경련, 행동장애, 지능저하",염색체 이상,염색체검사,보존적치료
19,"선천 기형,변형 및 염색체 이상(Q00-Q99)",21번 염색체 결실,Monosomy 21,"21번 홑염색체(partial 21q monosomy),21번 장완 염색체 결실(21q- syndrome),21q deletion,","소두증, 소악증, 양안 격리증, 낮게 위치한 귀 기형, 짧은 목, 작은 손발, 잦은 상부 호흡기 이상, 성장 부진, 경련, 정신 지체 등",21번 염색체 장완의 전체 또는 부분 결실,"고식적 핵형 분석, 형광제자리부합법, 비교유전자교잡법",증상에 따른 대증치료
20,"선천 기형,변형 및 염색체 이상(Q00-Q99)",22번 세염색체증,"Chromosome 22, Trisomy Mosaic","Trisomy 22 Mosaic,Trisomy 22 Mosaicism Syndrome,","비대칭적 신체 발달, 작은 키, 혈관의 기형, 안검하수, 난소 발달 장애, 안면기형",22번 염색체 이상,"초음파, 말초혈, 양수 또는 융모막검사를 통한 염색체 검사","증상에 따른 치료, 외과적 수술, 인공청력 장치(인공와우) 등"
21,"선천 기형,변형 및 염색체 이상(Q00-Q99)",22번 장완 11.2 중복 증후군,22q11.2 duplication syndrome,"Trisomy 22q11.2,Duplication 22q11.2,22q11.2 microduplication syndrome,","심장기형, 비뇨 생식기 기형, 두개 안면 기형 (양안 격리증), 높게 위치한 눈썹, 안검하수증, 쳐진 눈꺼풀 틈새, 소하악, 입천장인두 기능부전, 청력장애, 인지장애, 학습장애",22p11.2 인접 유전자 결실 (TBX1 유저자를 포함한 40개 유전자를 포함한 영역),"염색체 검사 , FISH ","심장 기형 및 비뇨생식기 기형 수술, 인지 학습 장애에 대한 치료"
22,"선천 기형,변형 및 염색체 이상(Q00-Q99)",2번 장완 염색체 미세결실 증후군,2q37 microdeletion syndrome,"Brachydactyly-mental retardation syndrome, BMDR,chromosome 2q37 deletion syndrome ,","발달지연, 정신지체, 단지증, 저신장, 비만, 안면기형 등","2번 염색체 장완 원위부의 미세 결실 또는 염색체 구조이상, HDAC4 유전자의 이형 돌연변이","고식적 핵형분석, 형광제자리부합법, 비교유전자교잡법, 복합결찰의존프로브증폭법",증상에 따른 대증치료 
23,"내분비,영양 및 대사 질환(E00-E90)",2형 자가면역성 다선 증후군,Autoimmune Polyendocrine Syndrome TypeⅡ,"제1형 당뇨병 (Diabetes mellitus ), 에디슨 병 ( Addisons disease ), 점액부종 ( Myxedema ), 2형 다중내분비 결핍증후군 ( Multiple endocrine deficiency syndrome typeⅡ /PGAⅡ ), 2형 자가면역성 다분비선증후군 ( Polyglandular autoimmune syndrome typeⅡ ), 2형 다분비선 결핍증후군 ( Polyglandular deficiency syndrome typeⅡ ), Schmidt 증후군( Schmidt syndrome),","갑상선 비대, 둔한 얼굴표정, 쳐진 눈꺼풀, 건조하고 얇은 머리카락 등의 갑상선기능저하증 증상, 빈뇨, 갈","정확한 원인은 밝혀지지 않았으나, 한개 또는 그 이상의 비정상적 면역반응 때문으로 생각됨","임상적 평가 ,  부신기능부전증의 진단검사",호르몬 보충 요법
24,"내분비,영양 및 대사 질환(E00-E90)",3 하이드록시 3 메틸글루타릴 CoA 리아제 결핍증,3-Hydroxy-3-Methylglutaryl-CoA Lyase deficiency,"HMG-CoA lyase deficiency,HMGCL Deficiency,HL Deficiency,Hydroxymethylglutaric Aciduria,3-Hydroxy-3-Methylglutaryl-CoA lyase Deficiency; HMGCLD,","구토, 근 긴장도의 감소, 경기",HMGCL 유전자의 돌연변이,소변의 유기산검사,포도당 정맥 투여
25,"내분비,영양 및 대사 질환(E00-E90)",3 하이드록시 3 메틸글루타릴 CoA 합성효소 결핍증,3-Hydroxy-3-Methylglutaryl-CoA Synthase deficiency,"Mitochondrial HMG-CoA Synthase deficiency,HMGCS2 Deficiency,3-Hydroxy-3-Methylglutaryl-CoA synthase 2 deficiency,HMG-CoA synthase-2 deficiency ,","혼수, 발작",HMGCS2 유전자의 돌연변이,"효소 분석, 유전자 검사",포도당 투여
26,"내분비,영양 및 대사 질환(E00-E90)",3-메틸크로토닐 코엔자임 A 카복실화 효소 결핍증,3-Methylcrotonyl-CoA carboxylase 1 deficiency,"3 메틸크로토닐 글리신뇨증(3-MethylcrotonylglycinuriaMethylcrotonylglycinuria type 1MCCD type 1MCC1 deficiency),3 메틸크로토닐 CoA 카르복실라아제 결핍증,","신경학적 증상, 발달지연, 지체장애, 잦은 감염, 수유곤란, 구토, 기면 ","효소 결핍, 유전자 돌연변이","신생아스크리닝 (소변의 유기산 분석) 이중질량분광분석기 분석, 유전자 검사",대증적 치료
27,"선천 기형,변형 및 염색체 이상(Q00-Q99)",3C 증후군,3C syndrome,"3C syndrome,Craniocerebellocardiac dysplasia,Ritscher-Schinzel syndrome,Dandy-Walker-like malformation with atrioventricular septal defect ,","안면두개 기형 (구개열, 양안격리 ,안장코), 선천성 심장기형 (중격 결손증, 대동맥 협착증), 소뇌 기형 (댄디-워커 증후군,, 소뇌 벌레 저형성증, 거대 소뇌수뇌수조), 신장 기형 (마제신, 신장 무형성증), 발달 장애",발달성 기형 증후군,"임상 증상, MRI","심장 기형에 대한 수술, 안면기형 교정 수술, 발달 장애 치료"
28,"선천 기형,변형 및 염색체 이상(Q00-Q99)",3M 증후군,3M syndrome,"Dolichospondylic dysplasia,Gloomy syndrome,Le Merrer syndrome,","심각한 산전 및 산후 성장 지연, 특징적인 얼굴 형태, 정상 지능","CUL7, OBSL1, CCDC8 유전자 돌연변이",특징적인 임상적 소견으로 3M 증후군이 의심될 경우 분자유전학적 검사를 통해 확인가능.,"성장을 위한 성장호르몬 치료, 관절에 대한 정형외과적 검사 및 관절염 발생 조절, 남성의 경우 사춘기때 생식샘 기능 검사가 필요함."
29,"선천 기형,변형 및 염색체 이상(Q00-Q99)",3MC 증후군 ,"3MC(Malpeuch, Maichels, Mingarelli, Carnevale) Syndrome","3MC syndrome 1; Oculopalatoskeletal syndrome, Craniosynostosis with lid anomalies, Michels syndrome (formerly),3MC syndrome 2; Ptosis of eyelids with diastasis recti and hip dysplasia, Oculo-skeletal-abdominal syndrome, OSA syndrome, Carnevale syndrome (formerly),3MC syndrome 3; Facial clefting syndrome (gypsy type), Malpuech facial clefting syndrome (formerly) ,","두개골조기융합증, 눈꺼풀틈새축소, 눈꺼풀 처짐증, 거꿀눈구석주름, 입술 갈림증, 배꼽 위 복벽 이형성, 정신박약",밝혀진 바 없음,특징적인 임상적 소견으로 진단,밝혀진 바 없음
30,"내분비,영양 및 대사 질환(E00-E90)",3β-Dehydrogenase 결핍증,3β-Dehydrogenase deficiency,"3-Beta-hydroxy-delta-5-C27-steroid oxidoreductase; HSD3B7,Bile acid synthesis defect, congenital, 1; CBAS1,","지방변, 간 세포의 괴사",HSD3B7 유전자의 돌연변이,특징적인 ◁5 담즙산,chenodeoxycholic acid
31,"선천 기형,변형 및 염색체 이상(Q00-Q99)",3번 염색체 단완 결손,"Chromosome 3, deletion of distal 3p","3번 염색체 단완 말단의 결손(Chromosome 3, deletion of distal 3p),3번 염색체 단완 말단 홑염색체( Chromosome 3, distal 3p monosomy),홑염색체 3p(Monosomy 3p),","성장 지연, 정신 지체, 정신운동 지연, 소두증, 털과다증, 일자눈썹, 삼각형 얼굴, 이상하게 긴 머리, 돌출한 이마, 작은 턱, 눈꺼풀 처짐, 두눈먼거리증, 눈구석 주름, 처지고 기형의 귀, 넓고 편평한 코, 내려간 입, 손가락 이상, 다지증, 오목가슴, 척추측만증, 난청, 시력 장애, 비정상적으로 앞쪽에 위치한 항문, 잠복고환증, 신장 결함, 선천적 심장 결함. ",3번 염색체 단완 결손.,세포유전학적 검사(염색체 분석 검사),"증상에 대한   대증적 치료와 관리, 구조적 이상에 대한 수술, 특수 교육, 신체 치료, 약물치료"
32,"선천 기형,변형 및 염색체 이상(Q00-Q99)","46, XX 고환의 성발달 이상","46,XX testicular disorder of sex development","46,XX ovotesticular disorder of sex development,46,XX ovotesticular DSD,46,XX sex reversal, SRY-positive,46, XX gonadal dysgenesis, complete, SRY-positive,XX male, SRY-positive,46, XX testicular disorder of sex development ,","작은 고환(small testes), 여성형 유방(gynecomastia), 잠복고환(cryptorchidism), 무정자증(azoospermia)",원발성 발생 (de novo ocurrence),"임상양상, 내분비기능검사, 염색체검사, FISH검사, PCR 검사",저용량 테스토스테론 요법(low-dose testosterone therapy)
33,"선천 기형,변형 및 염색체 이상(Q00-Q99)","46, XX 순수 생식선발생이상","46,XX pure gonadal dysgenesis","46, XX gonadal dysgenesis,Hypergonadotropic ovarian dysgenesis,46, XX gonadal dysgenesis,46,XX complete gonadal dysgenesis,46, XX ovarian dysgenesis,Follicular stimulating hormone-resistant ovaries (FSH-RO),Hypergonadotropic ovarian dysgenesis,XX female gonadal dysgenesis (XX-GD) ,","조기폐경, 무월경, 불임","FSHR (2p21-p16), BMP15 (Xp11.2), NR5A1 (9q33) 등의 돌연변이","신체검사, 고식적 핵형분석, 영상의학적 검사 등","호르몬 대체요법, 칼슘과 비타민 D의 보충요법"
34,"선천 기형,변형 및 염색체 이상(Q00-Q99)","48, XXYY 증후군","48, XXYY syndrome","이형 클라인펠터 증후군,","고신장, 작은 남성 생식기, 불임증, 얼굴 외형 이상, 학습능력 장애, 행동 및 정신과적 문제, 발달 지연 등",감수 분열에서의 X와 Y 염색체의 분리 실패로 인한 염색체의 수적이상,"신체검사, 고식적 핵형분석, 호르몬검사, 영상의학적 검사 등","증상에 따른 대증치료, 남성호르몬 치료 "
35,"선천 기형,변형 및 염색체 이상(Q00-Q99)",4번 단완 세염색체증,"Chromosome 4, trisomy 4p","Chromosome 4, Partial Trisomy 4p,Dup(4p) Syndrome,Duplication 4p Syndrome ,","정신 지체, 생식기 이상, 심장혈관계통의 결함, 섭취 및 호흡곤란, 골격기형",4번 염색체 단완의 전부 또는 일부에 위치하는 유전자들이 3개 중복됨,"초음파, 말초혈, 양수천자 또는 융모막 검체를 통한 염색체 검사","증상 개선 치료, 전문분야별 협의진료, 지지요법, 특수 교육, 다각적인 지원 필요"
36,"내분비,영양 및 대사 질환(E00-E90)",5-알파-리덕타아제 결핍증,5α-reductase deficiency,"질성 회음음낭부 요도밑열림증 (Pseudovaginal perineoscrotal hypospadia),","모호한 외부 성기, 남성 가성반음양증",5α-환원효소 결핍," Testosterone/Dihydrotestosterone (T/DHT) ratio, 염색체 검사","남성으로 성장 원할 때는 DHT보충 및 잠복고환과 요도하열 수술, 여성으로 성장 원할 때는 에스트로겐보충 및 고환 제거"
37,"내분비,영양 및 대사 질환(E00-E90)",5-옥소프롤린뇨증,5-Oxoprolinuria,"pyroglutamic aciduria,Glutathione synthetase deficiency (GSD),","황달, 용혈성빈혈,  비장비대, 황달, 대사성 산증","GSS 유전자 돌연변이로 인한 glutathione 합성효소 결핍, 상염색체열성유전","탠덤매스스펙트로메터법(MS/MS)을 통한 신생아 대사질환 선별검사, 소변내 5-Oxoprolin 측정, 섬유모세포 5-oxoprolinase 효소 활성도 측정, GSS 유전자검사","bicarbonate 및 citrate 통한 산증 교정, 빈혈에 대한 수혈, 전해질 교정, 고량의 비타민 E and 비타민 C"
38,"내분비,영양 및 대사 질환(E00-E90)",5-옥소프롤린라제 결핍증,5-oxoprolinase deficiency,"옥소프롤린뇨증,",없음,돌연변이,gas liquid chromatography,없음
39,"내분비,영양 및 대사 질환(E00-E90)",5β-reductase 결핍증,5β-reductase deficiency,"delta(4)-3-oxosteroid 5-beta-reductase deficiency,Bile acid synthesis defect, congenital, 2; CBAS 2,",신생아 담즙정체 황달,AKR1D1 유전자 돌연변이,혈장 담즙산 분석,ursodeoxycholic acid
40,"선천 기형,변형 및 염색체 이상(Q00-Q99)",5번 단완 세염색체증,"Chromosome 5, trisomy 5p","Chromosome 5, Trisomy 5p, Complete (5p11-ter), Included,Chromosome 5, Trisomy 5p, Partial, Included,Dup(5p) Syndrome,Duplication 5p Syndrome,","정신 지체,  섭취·호흡곤란, 근육긴장저하, 머리기형, 손발기형",5번 염색체 단완의 전부 또는 일부에 위치하는 유전자들이 3개 중복됨,"초음파, 말초혈, 양수천자 또는 융모막 검체를 통한 염색체 검사","증상 개선 치료, 전문분야별 협의진료, 지지요법, 특수 교육, 다각적인 지원 필요"
41,"선천 기형,변형 및 염색체 이상(Q00-Q99)",5번 염색체 장완 부분결실,Interstitial deletion 5q33.3q35.1,",","정신지체, 성장장애, 안면기형",새로이 생긴 염색체 결실(de novo deletion),"염색체검사(5번 염색체 장완), 형광동소교잡법(FISH), 염색체 마이크로어레이",특별한 치료법 없음
42,"내분비,영양 및 대사 질환(E00-E90)",5형 당원축적병 근육인산분해효소 결핍A,Glycogen Storage Disease Type V(GSD V),"McArdle 병(McArdle disease),근육인산분해효소 결핍(myophosphorylase deficiency),glycogen storage disease, GSD type 5,Type 5 glycogenosis,","운동불내성(exercise intolerance), 근육의 무력감",상염색체 열성유전,"근육조직의 효소활성도, 유전자검사, 아래팔허혈/비허혈 전완 운동부하검사(ischemic/non-ischemic forearm exercise test)","호기성 운동, 대증 치료"
43,"선천 기형,변형 및 염색체 이상(Q00-Q99)","6번 염색체 중복, 결실 증후군",Chromosome 6 duplication (Deletion) syndrome,"6번 염색체 장완 결손 증후군(6q deletion syndrome),6번 염색체 부분 중복 증후군(partial 6q deplication),","골격기형, 뇌안면 기형, 섭식장애 및 호흡기 이상, 소뇌증, 정신지체",6번 염색체의 부분적 결실 혹은 중복으로 인한 유전자의 소실 또는 중복,"임상증상, 이학적 검사, 염색체 검사, 자기공명영상(MRI), 뇌파검사","대증적 치료, 재활치료"
44,"선천 기형,변형 및 염색체 이상(Q00-Q99)",8번 염색체 단완 결실,Monosomy 8p,"8번 염색체 단체증(8p- Syndrome, Partial),8번 염색체 단완 결실증(Chromosome 8, 8p Deletion Syndrome, Partial),Chromosome 8, Partial Deletion of Short Arm,Chromosome 8, Partial Monosomy 8p,Del(8p) Syndrome, Partial,Distal 8p Monosomy,Partial 8p Monosomy,Terminal 8p- Syndrome (8p21 to 8p23-pter), Included ,","두개안면부 기형, 소두증, 짧은 목, 넓은 가슴, 생식샘 기능 저하증, 선천성 심장질환",8번 염색체 단완(p)의 말단 결손,"태아초음파, 염색체 검사","여러 진료과의 통합 치료, 증상적 치료, 특수교육-언어, 물리치료 등"
45,"선천 기형,변형 및 염색체 이상(Q00-Q99)",9번 세염색체 증후군,trisomy 9,"9번 세염색체 모자이크 현상(Trisomy 9 mosaicism),9번 부분 세염색체 증후군 (Partial trisomy 9),","정신 지체, 성장 및 발육 부전, 근긴장 저하, 소두증, 소악증, 좁은 관자놀이, 돌출된 후두, 두터운 콧날과 넓은 코, 낮게 위치한 귀, 골격계 및 중추신경계 이상 등 ",9번 염색체의 개수 이상 (9번 염색체 3개 존재),"임신 중 태아 초음파에서 선천성 기형을 의심함, 산전 태아 염색체 검사(양수검사 등), 출생 후 진찰 상 특징적인 기형이 확인되어 염색체 검사를 통해 확진",유전상담
46,"선천 기형,변형 및 염색체 이상(Q00-Q99)",9번 장완 염색체 미세결실 증후군,9q22.3 microdeletion syndrome,"Gorlin syndrome,Nevoid basal cell carcinoma syndrome,","발달지연, 정신지체, 이마뼈 융합, 수두증, 기저세포암, 거대아 등",9번 염색체 장완의 미세 결실,"고식적 핵형분석, 형광제자리부합법, 비교유전자교잡법, 복합결찰의존프로브증폭법","증상에 따른 대증치료, 이온화 방사선 및 과도한 태양광 노출의 삼가 "
47,"손상,중독 및 외인에 의한 특정 기타 결과(S00-T98)",ABO부적합반응,ABO incompatibility reaction,",","발열, 오심, 저혈압, 통증",부적합한 수혈,혈액검사,수혈중지 및 응급처치
48,특정 감염성 및 기생충성 질환(A00-B99),AIDS 이형 증후군,AIDS dysmorphic Syndrome,"이형 AIDS(Dysmorphic AIDS),이형 후천성면역결핍증후군(Dysmorphic Acquired Immune Deficiency Syndrome), 태아 후천성면역결핍증후군(Fetal Acquired Immune Deficiency Syndrome (AIDS)),태아 AIDS 감염(Fetal AIDS infection),HIV 배아병증(HIV Embryopathy),출생전후기 AIDS(Perinatal AIDS),","두개안면기형, 비정상적으로 작은 머리, 성장장애",대부분은 임신 중 태반을 통해서 감염되거나 분만 과정 중에 감염 됨. 또한 모유를 통해서도 감염될 수 있음,"바이러스 검사(예: HIV 바이러스 배양, 중합효소연쇄반응으로 알려진 유전자검사) 반복시행, 보조 T세포의 수, 보조 T세포와 특정 백혈구의 비율, 전혈구계산, 혈소판 수치를 검사.","모체로부터 전염예방, 항바이러스제 치료"
49,"선천 기형,변형 및 염색체 이상(Q00-Q99)","ARC 증후군 | 관절굽음증, 신 세뇨관 이상, 담즙정체 증후군","ARC syndrome(arthrogryposis, renal tubular dysfunction, and cholestasis)","관절굽음증, 신 세뇨관 이상, 담즙정체 증후군(arthrogryposis, renal tubular dysfunction, and cholestasis),","관절구축, 신세뇨관 기능이상, 담즙정체","상염색체열성유전 ,  세포내 소체의 막 융합과 단백 교통에 관여하는 VPS33B 유전자 돌연변이 ","조직 생검 ,  VPS33B 유전자 분석  ",특별한 치료 방법이 없음
50,"선천 기형,변형 및 염색체 이상(Q00-Q99)",Barakat 증후군,Barakat syndrome,"부갑상선기능저하증-감각신경성 난청-신장 이형성 증후군(Hypoparathyroidism-sensorineural deafness-renal dysplasia, HDR syndrome),","저칼슘혈증, 경련, 난청, 신증후군, 신부전, 신장 이형성 등","GATA3 유전자 돌연변이, 염색체 검사","임상 양상, 유전자 검사",대증 치료
51,혈액 및 조혈기관의 질환과 면역기전을 침범하는 특정장애(D50-D89),C1에스터레이스억제인자결핍,C1 esterase inhibitor[C1-INH] deficiency,"유전성 혈관부종(Hereditary angioedema),",혈관부종,유전자 이상,혈액검사,"보존적치료, C1 esterase inhibitor concentrate"
